Période;IPL_trimestriel
2025-T4;127.3
2025-T3;126.7
2025-T2;126.8
2025-T1;127.3
2024-T4;125.9
2024-T3;125.9
2024-T2;126.2
2024-T1;126.9
2023-T4;128.7
2023-T3;131.0
2023-T2;132.7
2023-T1;133.8
2022-T4;133.9
2022-T3;133.5
2022-T2;132.0
2022-T1;130.3
2021-T4;128.0
2021-T3;125.5
2021-T2;123.5
2021-T1;121.3
2020-T4;119.6
2020-T3;116.8
2020-T2;116.3
2020-T1;114.5
2019-T4;112.4
2019-T3;111.2
2019-T2;110.0
2019-T1;109.0
2018-T4;108.3
2018-T3;107.7
2018-T2;106.6
2018-T1;105.9
2017-T4;104.9
2017-T3;104.5
2017-T2;103.6
2017-T1;102.9
2016-T4;101.6
2016-T3;101.2
2016-T2;100.5
2016-T1;100.4
2015-T4;100.1
2015-T3;99.9
2015-T2;99.8
2015-T1;100.2
2014-T4;100.6
2014-T3;101.8
2014-T2;102.6
2014-T1;102.7
2013-T4;103.2
2013-T3;103.3
2013-T2;104.0
2013-T1;104.7
2012-T4;105.1
2012-T3;105.7
2012-T2;106.3
2012-T1;106.8
2011-T4;107.2
2011-T3;107.4
2011-T2;106.7
2011-T1;104.9
2010-T4;103.4
2010-T3;101.2
2010-T2;99.7
2010-T1;98.0
2009-T4;96.1
2009-T3;95.0
2009-T2;94.8
2009-T1;96.9
2008-T4;100.2
2008-T3;103.1
2008-T2;104.2
2008-T1;104.6
2007-T4;104.1
2007-T3;102.6
2007-T2;101.4
2007-T1;100.2
2006-T4;98.7
2006-T3;97.0
2006-T2;95.0
2006-T1;92.6
2005-T4;89.8
2005-T3;87.1
2005-T2;84.1
2005-T1;81.1
2004-T4;78.2
2004-T3;75.3
2004-T2;72.6
2004-T1;70.2
2003-T4;67.5
2003-T3;65.2
2003-T2;63.4
2003-T1;61.5
2002-T4;59.9
2002-T3;58.3
2002-T2;56.7
2002-T1;55.3
2001-T4;54.4
2001-T3;53.4
2001-T2;52.6
2001-T1;51.5
2000-T4;50.4
2000-T3;49.6
2000-T2;48.6
2000-T1;47.8
1999-T4;46.5
1999-T3;45.6
1999-T2;44.5
1999-T1;44.0
1998-T4;42.9
1998-T3;42.4
1998-T2;42.0
1998-T1;41.6
1997-T4;41.8
1997-T3;41.3
1997-T2;41.6
1997-T1;40.9
1996-T4;41.9
1996-T3;41.5
1996-T2;41.4
1996-T1;41.4
